Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase_enclave.dll

File Type: DLL

  Section contains the following exports for ucrtbase_enclave.dll

    00000000 characteristics
    8B7FEE4D time date stamp
        0.00 version
           1 ordinal base
         785 number of functions
         785 number of names

    ordinal hint RVA      name

        569  238 0000E670 islower
        570  239 0000EC30 isprint
        571  23A 0000E9B0 ispunct
        572  23B 0000E8E0 isspace
        573  23C 0000E5A0 isupper
        574  23D 0000F260 iswalnum
        575  23E 0000F0B0 iswalpha
        576  23F 0000F350 iswascii
        577  240 0000F220 iswblank
        578  241 0000F320 iswcntrl
        579  242 0000B110 iswctype
        580  243 0000F150 iswdigit
        581  244 0000F2E0 iswgraph
        582  245 0000F120 iswlower
        583  246 0000F2A0 iswprint
        584  247 0000F1F0 iswpunct
        585  248 0000F1C0 iswspace
        586  249 0000F0F0 iswupper
        587  24A 0000F180 iswxdigit
        588  24B 0000E810 isxdigit
        589  24C 00021A50 labs
        590  24D 0002C640 ldexp
        591  24E 00021D90 ldiv
        592  24F 0002CDA0 lgamma
        593  250 0002D690 lgammaf
        594  251 0002DA30 lgammal
        595  252 00021A60 llabs
        596  253 00021F60 lldiv
        597  254 0002DCA0 llrint
        598  255 0002DD30 llrintf
        599  256 0002DCA0 llrintl
        600  257 0002DDC0 llround
        601  258 0002DE30 llroundf
        602  259 0002DDC0 llroundl
        603  25A 00011660 localeconv
        604  25B 00037EA0 log
        605  25C 000383E0 log10
        606  25D 000389A0 log10f
        607  25E 0002DEA0 log1p
        608  25F 0002DF80 log1pf
        609  260 0002DEA0 log1pl
        610  261 000459F0 log2
        611  262 0002E230 log2f
        612  263 0002E3E0 log2l
        613  264 0002E470 logb
        614  265 0002E3F0 logbf
        615  266 0002E470 logbl
        616  267 00038E90 logf
        617  268 00053760 longjmp
        618  269 0002E4F0 lrint
        619  26A 0002E580 lrintf
        620  26B 0002E4F0 lrintl
        621  26C 0002E610 lround
        622  26D 0002E680 lroundf
        623  26E 0002E610 lroundl
        624  26F 00010440 malloc
        625  270 0000B250 mblen
        626  271 0000B820 mbrlen
        627  272 0000B270 mbrtoc16
        628  273 0000B380 mbrtoc32
        629  274 0000B870 mbrtowc
        630  275 0000BA50 mbsrtowcs
        631  276 0000BA60 mbsrtowcs_s
        632  277 0000BF00 mbstowcs
        633  278 0000BF20 mbstowcs_s
        634  279 0000C260 mbtowc
        635  27A 00053790 memchr
        636  27B 000537C0 memcmp
        637  27C 000538A0 memcpy
        638  27D 000329D0 memcpy_s
        639  27E 000538A0 memmove
        640  27F 00032A60 memmove_s
        641  280 00053D00 memset
        642  281 00040D90 modf
        643  282 00040E80 modff
        644  283 0002E780 nan
        645  284 0002E850 nanf
        646  285 0002E780 nanl
        647  286 0002E920 nearbyint
        648  287 0002E960 nearbyintf
        649  288 0002E920 nearbyintl
        650  289 0002E9A0 nextafter
        651  28A 0002E9B0 nextafterf
        652  28B 0002E9A0 nextafterl
        653  28C 0002E9C0 nexttoward
        654  28D 0002EB50 nexttowardf
        655  28E 0002E9C0 nexttowardl
        656  28F 0002ECC0 norm
        657  290 0002ECE0 normf
        658  291 0002ECC0 norml
        659  292 000392A0 pow
        660  293 0003A940 powf
        661  294 00022120 qsort
        662  295 00022570 qsort_s
        663  296 000137E0 quick_exit
        664  297 00012800 raise
        665  298 00022A00 rand
        666  299 00010690 realloc
        667  29A 000461F0 remainder
        668  29B 00046740 remainderf
        669  29C 0002ED10 remainderl
        670  29D 0002ED20 remquo
        671  29E 0002EEF0 remquof
        672  29F 0002ED20 remquol
        673  2A0 0002F0C0 rint
        674  2A1 0002F260 rintf
        675  2A2 0002F0C0 rintl
        676  2A3 0002F400 round
        677  2A4 0002F470 roundf
        678  2A5 0002F400 roundl
        679  2A6 0002F4E0 scalbln
        680  2A7 0002F550 scalblnf
        681  2A8 0002F4E0 scalblnl
        682  2A9 0002F4E0 scalbn
        683  2AA 0002F550 scalbnf
        684  2AB 0002F4E0 scalbnl
        685  2AC 00053680 set_unexpected
        686  2AD 00055150 setjmp
        687  2AE 0003C0D0 sin
        688  2AF 0003C640 sinf
        689  2B0 00040F30 sinh
        690  2B1 00041410 sinhf
        691  2B2 000417F0 sqrt
        692  2B3 000418C0 sqrtf
        693  2B4 000229E0 srand
        694  2B5 00032C30 strcat
        695  2B6 00032D90 strcat_s
        696  2B7 00053EC0 strchr
        697  2B8 00032E20 strcmp
        698  2B9 00032CD0 strcpy
        699  2BA 00032E90 strcpy_s
        700  2BB 00032FA0 strcspn
        701  2BC 00012B30 strerror
        702  2BD 00012CA0 strerror_s
        703  2BE 00033520 strlen
        704  2BF 000338F0 strncat
        705  2C0 00033A90 strncat_s
        706  2C1 00033B90 strncmp
        707  2C2 00033C50 strncpy
        708  2C3 00033DC0 strncpy_s
        709  2C4 00034010 strnlen
        710  2C5 000345A0 strpbrk
        711  2C6 00053F50 strrchr
        712  2C7 00034AB0 strspn
        713  2C8 000540A0 strstr
        714  2C9 0000C290 strtod
        715  2CA 0000C270 strtof
        716  2CB 0000C770 strtoimax
        717  2CC 00034E80 strtok
        718  2CD 00034FE0 strtok_s
        719  2CE 0000C690 strtol
        720  2CF 0000C290 strtold
        721  2D0 0000C770 strtoll
        722  2D1 0000C700 strtoul
        723  2D2 0000C7E0 strtoull
        724  2D3 0000C7E0 strtoumax
        725  2D4 000354C0 strxfrm
        726  2D5 0003D180 tan
        727  2D6 0003D920 tanf
        728  2D7 00041AA0 tanh
