Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    6A056922 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         482 number of names

    ordinal hint RVA      name

        550  182 000D1D40 SHLoadInProc
        551  183 001EA820 SHLoadNonloadedIconOverlayIdentifiers
         77  184 00099960 SHMapPIDLToSystemImageListIndex
        716  185 00279D40 SHMultiFileProperties
        178  186 001D8150 SHObjectProperties
        552  187 0027A860 SHOpenFolderAndSelectItems
         80  188 00279D60 SHOpenPropSheetW
        553  189 0019AEB0 SHOpenWithDialog
        554  18A 0003C110 SHParseDisplayName
        555  18B 00197DC0 SHPathPrepareForWriteA
        556  18C 00197DE0 SHPathPrepareForWriteW
        685  18D 002240F0 SHPropStgCreate
        688  18E 00224110 SHPropStgReadMultiple
        689  18F 00224130 SHPropStgWriteMultiple
        557  190 0027B960 SHQueryRecycleBinA
        558  191 0027B9F0 SHQueryRecycleBinW
        559  192 000C0500 SHQueryUserNotificationState
        560  193 001FB220 SHRemoveLocalizedName
        170  194 002481B0 SHReplaceFromPropSheetExtArray
        561  195 00224150 SHResolveLibrary
        100  196 0003BFE0 SHRestricted
        562  197 00247CE0 SHSetDefaultProperties
        231  198 00224170 SHSetFolderPathA
        232  199 00224190 SHSetFolderPathW
        176  19A 000C27E0 SHSetInstanceExplorer
        563  19B 002241B0 SHSetKnownFolderPath
        564  19C 001FB2C0 SHSetLocalizedName
        565  19D 000835D0 SHSetTemporaryPropertyForItem
        566  19E 001EA9A0 SHSetUnreadMailCountW
         73  19F 00269510 SHShellFolderView_Message
        567  1A0 004BE7F0 SHShowManageLibraryUI
        162  1A1 001EABD0 SHSimpleIDListFromPath
         14  1A2 0026D3F0 SHStartNetConnectionDialogW
        245  1A3 000C1E50 SHTestTokenMembership
        191  1A4 002478E0 SHUpdateImageA
        192  1A5 00247950 SHUpdateImageW
        568  1A6 000BCDE0 SHUpdateRecycleBinIcon
        173  1A7 002323F0 SHValidateUNC
        569  1A8 00232A80 SetCurrentProcessExplicitAppUserModelID
        570  1A9 0018D3A0 SheChangeDirA
        571  1AA 0018D420 SheChangeDirExW
        572  1AB 0018DA30 SheGetDirA
        573  1AC 0018DC80 SheSetCurDrive
        574  1AD 0028BCD0 ShellAboutA
        575  1AE 0028BE00 ShellAboutW
        576  1AF 001B1AF0 ShellExec_RunDLL
        577  1B0 001B1AF0 ShellExec_RunDLLA
        578  1B1 001B1BA0 ShellExec_RunDLLW
        579  1B2 001B1CF0 ShellExecuteA
        580  1B3 001B1D80 ShellExecuteEx
        581  1B4 001B1D80 ShellExecuteExA
        582  1B5 0004E5E0 ShellExecuteExW
        583  1B6 00107470 ShellExecuteW
        584  1B7 0010A060 ShellHookProc
        183  1B8          ShellMessageBoxA (forwarded to shlwapi.ShellMessageBoxA)
        182  1B9          ShellMessageBoxW (forwarded to shlwapi.ShellMessageBoxW)
         72  1BA 00230460 Shell_GetCachedImageIndex
        585  1BB 00230470 Shell_GetCachedImageIndexA
        586  1BC 0005D3E0 Shell_GetCachedImageIndexW
         71  1BD 000BD030 Shell_GetImageLists
         67  1BE 0006B690 Shell_MergeMenus
        587  1BF 002241F0 Shell_NotifyIcon
