Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\spacebridge.dll

File Type: DLL

  Section contains the following exports for spacebridge.dll

    00000000 characteristics
    D7EB1722 time date stamp
        0.00 version
           1 ordinal base
        1142 number of functions
        1142 number of names

    ordinal hint RVA      name

        311  136 00005D60 SDB_COLUMN_Initialize
        312  137 00005D60 SDB_COLUMN_IntegrityCheck
        313  138 00004A60 SDB_COLUMN_Set_ChangeNumber
        314  139 00004A50 SDB_COLUMN_Set_ColumnNumber
        315  13A 00007080 SDB_COLUMN_Set_CopyId
        316  13B 000070C0 SDB_COLUMN_Set_Reason
        317  13C 00002990 SDB_COLUMN_Set_SpaceOffset
        318  13D 000070A0 SDB_COLUMN_Set_State
        319  13E 000070E0 SDB_COLUMN_Unformat
        320  13F 00005550 SDB_CONFIG_AbortRecords
        321  140 00005420 SDB_CONFIG_BeginTransaction
        322  141 00005540 SDB_CONFIG_CommitRecords
        323  142 00005440 SDB_CONFIG_CommitTransaction
        324  143 00005200 SDB_CONFIG_Construct
        325  144 00005030 SDB_CONFIG_CreateAssociations
        326  145 000011A0 SDB_CONFIG_CreateRecord
        327  146 00003690 SDB_CONFIG_Destruct
        328  147 000053E0 SDB_CONFIG_DoubleIncrement
        329  148 00005560 SDB_CONFIG_ExportRecords
        330  149 000053D0 SDB_CONFIG_FindRecordByKey
        331  14A 000053B0 SDB_CONFIG_FindRecordByRecordId
        332  14B 00005500 SDB_CONFIG_FormatRecords
        333  14C 000051B0 SDB_CONFIG_GetRecord
        334  14D 000051D0 SDB_CONFIG_GetRecordByType
        335  14E 000051F0 SDB_CONFIG_Get_CxxSize
        336  14F 00005220 SDB_CONFIG_Get_MaxRecordId
        337  150 00005240 SDB_CONFIG_Get_MinRecordId
        338  151 00005260 SDB_CONFIG_Get_NumberOfRecordsAt
        339  152 000028F0 SDB_CONFIG_Get_OldNextRecordId
