Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msvcrt.dll

File Type: DLL

  Section contains the following exports for msvcrt.dll

    00000000 characteristics
    F362C2F9 time date stamp
        0.00 version
           1 ordinal base
        1317 number of functions
        1317 number of names

    ordinal hint RVA      name

        523  20A 00022940 _mbctolower
        524  20B 00022950 _mbctolower_l
        525  20C 00022280 _mbctombb
        526  20D 00022290 _mbctombb_l
        527  20E 00022A20 _mbctoupper
        528  20F 00022A30 _mbctoupper_l
        529  210 000904C0 _mbctype
        530  211 000036D0 _mblen_l
        531  212 00022B00 _mbsbtype
        532  213 00022B10 _mbsbtype_l
        533  214 0005A6A0 _mbscat
        534  215 00022BF0 _mbscat_s
        535  216 00022D80 _mbscat_s_l
        536  217 00022F80 _mbschr
        537  218 00022F90 _mbschr_l
        538  219 00023070 _mbscmp
        539  21A 00023080 _mbscmp_l
        540  21B 00023190 _mbscoll
        541  21C 000231A0 _mbscoll_l
        542  21D 0005A740 _mbscpy
        543  21E 00023280 _mbscpy_s
        544  21F 00023390 _mbscpy_s_l
        545  220 00023520 _mbscspn
        546  221 00023530 _mbscspn_l
        547  222 00023630 _mbsdec
        548  223 00023640 _mbsdec_l
        549  224 0005A800 _mbsdup
        550  225 000236F0 _mbsicmp
        551  226 00023700 _mbsicmp_l
        552  227 00023900 _mbsicoll
        553  228 00023910 _mbsicoll_l
        554  229 000239F0 _mbsinc
        555  22A 00023A50 _mbsinc_l
        556  22B 00023A80 _mbslen
        557  22C 00023A90 _mbslen_l
        558  22D 00023B10 _mbslwr
        559  22E 00023B50 _mbslwr_l
        560  22F 00023B90 _mbslwr_s
        561  230 00023BA0 _mbslwr_s_l
        562  231 00023D10 _mbsnbcat
        563  232 00023D20 _mbsnbcat_l
        564  233 00023E80 _mbsnbcat_s
        565  234 000240E0 _mbsnbcat_s_l
        566  235 000243C0 _mbsnbcmp
        567  236 000243D0 _mbsnbcmp_l
        568  237 00024520 _mbsnbcnt
        569  238 00024530 _mbsnbcnt_l
        570  239 000245E0 _mbsnbcoll
        571  23A 000245F0 _mbsnbcoll_l
        572  23B 00024730 _mbsnbcpy
        573  23C 00024740 _mbsnbcpy_l
        574  23D 00024850 _mbsnbcpy_s
        575  23E 00024A20 _mbsnbcpy_s_l
        576  23F 00024C60 _mbsnbicmp
        577  240 00024C70 _mbsnbicmp_l
        578  241 00024E30 _mbsnbicoll
        579  242 00024E40 _mbsnbicoll_l
        580  243 00024F70 _mbsnbset
        581  244 00024F80 _mbsnbset_l
        582  245 00025090 _mbsnbset_s
        583  246 000252C0 _mbsnbset_s_l
        584  247 00025560 _mbsncat
        585  248 00025570 _mbsncat_l
        586  249 000256C0 _mbsncat_s
        587  24A 000258F0 _mbsncat_s_l
        588  24B 00025BB0 _mbsnccnt
        589  24C 00025BC0 _mbsnccnt_l
        590  24D 00025C70 _mbsncmp
        591  24E 00025C80 _mbsncmp_l
        592  24F 00025DA0 _mbsncoll
        593  250 00025DB0 _mbsncoll_l
        594  251 00025F10 _mbsncpy
        595  252 00025F20 _mbsncpy_l
        596  253 00026020 _mbsncpy_s
        597  254 000261F0 _mbsncpy_s_l
        598  255 00026420 _mbsnextc
        599  256 00026430 _mbsnextc_l
        600  257 000264C0 _mbsnicmp
        601  258 000264D0 _mbsnicmp_l
        602  259 00026670 _mbsnicoll
        603  25A 00026680 _mbsnicoll_l
        604  25B 000267E0 _mbsninc
        605  25C 00026810 _mbsninc_l
        606  25D 00026840 _mbsnlen
        607  25E 00026850 _mbsnlen_l
        608  25F 000268F0 _mbsnset
        609  260 00026900 _mbsnset_l
        610  261 00026A70 _mbsnset_s
        611  262 00026C60 _mbsnset_s_l
        612  263 00026ED0 _mbspbrk
        613  264 00026EE0 _mbspbrk_l
        614  265 00026FE0 _mbsrchr
        615  266 00026FF0 _mbsrchr_l
        616  267 000270D0 _mbsrev
        617  268 000270E0 _mbsrev_l
        618  269 000271D0 _mbsset
        619  26A 000271E0 _mbsset_l
        620  26B 000272D0 _mbsset_s
        621  26C 00027400 _mbsset_s_l
        622  26D 00027590 _mbsspn
        623  26E 000275A0 _mbsspn_l
        624  26F 000276A0 _mbsspnp
        625  270 000276B0 _mbsspnp_l
        626  271 000277C0 _mbsstr
        627  272 000277D0 _mbsstr_l
        628  273 000278F0 _mbstok
        629  274 00027900 _mbstok_l
        630  275 00027950 _mbstok_s
        631  276 00027960 _mbstok_s_l
        632  277 000037E0 _mbstowcs_l
        633  278 000039E0 _mbstowcs_s_l
        634  279 00003B90 _mbstrlen
        635  27A 00003BC0 _mbstrlen_l
        636  27B 00003C80 _mbstrnlen
        637  27C 00003C90 _mbstrnlen_l
        638  27D 00027B60 _mbsupr
        639  27E 00027BA0 _mbsupr_l
        640  27F 00027BE0 _mbsupr_s
        641  280 00027BF0 _mbsupr_s_l
        642  281 00003DC0 _mbtowc_l
        643  282 0005A890 _memccpy
