Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ifsutil.dll

File Type: DLL

  Section contains the following exports for IfsUtil.dll

    00000000 characteristics
    F3C8EAD5 time date stamp
        0.00 version
           1 ordinal base
         321 number of functions
         321 number of names

    ordinal hint RVA      name

        247   F6 000021F0 ?QueryStorageDeviceProperty@IFS_SYSTEM@@SAEPEAXPEAVDSTRING@@11PEAE2@Z
        248   F7 00016BB0 ?QuerySystemMemory@IFS_SYSTEM@@SAEPEAKPEA_K11@Z
        249   F8 00016CE0 ?QuerySystemVersion@IFS_SYSTEM@@SAEPEAVDSTRING@@@Z
        250   F9 00003810 ?QueryTierCount@DP_DRIVE@@UEAAJPEAK@Z
        251   FA 0001EC60 ?QueryUdfMediaHasPow@DP_DRIVE@@QEAAEXZ
        252   FB 0001EC80 ?QueryUdfMediaNeedsLowLevelFormat@DP_DRIVE@@QEAAEXZ
        253   FC 0001EC90 ?QueryUdfMediaNeedsSparing@DP_DRIVE@@QEAAEXZ
        254   FD 0001ECB0 ?QueryUdfMediaNeedsVat@DP_DRIVE@@QEAAEXZ
        255   FE 0001ECD0 ?QueryUdfMediaSupportsBackgroundFormat@DP_DRIVE@@QEAAEXZ
        256   FF 0001ECE0 ?QueryUdfMediaSupportsQuickGrow@DP_DRIVE@@QEAAEXZ
        257  100 0001ED10 ?QueryUdfMediaType@DP_DRIVE@@QEAAKXZ
        258  101 000132C0 ?QueryVerifyHandle@IO_DP_DRIVE@@QEAAPEAXXZ
        259  102 0001ED20 ?QueryVolumeBounds@DP_DRIVE@@QEAAEPEAK0@Z
