Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

    00000000 characteristics
    BCDE805B time date stamp
        0.00 version
           2 ordinal base
         501 number of functions
         425 number of names

    ordinal hint RVA      name

        140  161 000695A0 VarTokenizeFormatString
        138  162 00057ED0 VarUI1FromBool
        134  163 00058A90 VarUI1FromCy
        135  164 00058AC0 VarUI1FromDate
        240  165 00062010 VarUI1FromDec
        137  166 00058AD0 VarUI1FromDisp
        237  167 00058B20 VarUI1FromI1
        130  168 00058B40 VarUI1FromI2
        131  169 00058B60 VarUI1FromI4
        372  16A 00058B80 VarUI1FromI8
        132  16B 00058BA0 VarUI1FromR4
        133  16C 00058BB0 VarUI1FromR8
        136  16D 00058BF0 VarUI1FromStr
        238  16E 00058B40 VarUI1FromUI2
        239  16F 00058B60 VarUI1FromUI4
        373  170 00058B80 VarUI1FromUI8
        266  171 000580E0 VarUI2FromBool
        263  172 00058C20 VarUI2FromCy
        262  173 00058C60 VarUI2FromDate
        269  174 00062090 VarUI2FromDec
        265  175 00058C70 VarUI2FromDisp
        267  176 00058CC0 VarUI2FromI1
        258  177 00058CE0 VarUI2FromI2
        259  178 00058D00 VarUI2FromI4
        378  179 00058D20 VarUI2FromI8
        260  17A 00058D40 VarUI2FromR4
        261  17B 00058D50 VarUI2FromR8
        264  17C 00058D90 VarUI2FromStr
        257  17D 00058290 VarUI2FromUI1
        268  17E 00058D00 VarUI2FromUI4
        379  17F 00058D20 VarUI2FromUI8
        279  180 00058300 VarUI4FromBool
        276  181 00058DD0 VarUI4FromCy
        275  182 00058DF0 VarUI4FromDate
        282  183 00002060 VarUI4FromDec
        278  184 00058E00 VarUI4FromDisp
        280  185 00058E50 VarUI4FromI1
        271  186 00058E70 VarUI4FromI2
        272  187 00058E90 VarUI4FromI4
        425  188 00058EB0 VarUI4FromI8
        273  189 00058ED0 VarUI4FromR4
        274  18A 00058EE0 VarUI4FromR8
        277  18B 00058F20 VarUI4FromStr
        270  18C 00058400 VarUI4FromUI1
        281  18D 00058410 VarUI4FromUI2
        426  18E 00058EB0 VarUI4FromUI8
        437  18F 00058460 VarUI8FromBool
        433  190 00058FB0 VarUI8FromCy
        434  191 00058FD0 VarUI8FromDate
        441  192 00062110 VarUI8FromDec
        436  193 00058FE0 VarUI8FromDisp
        438  194 00059030 VarUI8FromI1
