Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    3230AA04 time date stamp
        0.00 version
           8 ordinal base
        2364 number of functions
        2363 number of names

    ordinal hint RVA      name

        469  1CC 000A1F00 NtQueryEaFile
        470  1CD 000A0210 NtQueryEvent
        471  1CE 000A1F20 NtQueryFullAttributesFile
        472  1CF 000A1F40 NtQueryInformationAtom
        473  1D0 000A1F60 NtQueryInformationByName
        474  1D1 000A1F80 NtQueryInformationEnlistment
        475  1D2 0009F970 NtQueryInformationFile
        476  1D3 000A1FA0 NtQueryInformationJobObject
        477  1D4 000A1FC0 NtQueryInformationPort
        478  1D5 0009FA70 NtQueryInformationProcess
        479  1D6 000A1FE0 NtQueryInformationResourceManager
        480  1D7 0009FBF0 NtQueryInformationThread
        481  1D8 0009FB70 NtQueryInformationToken
        482  1D9 000A2000 NtQueryInformationTransaction
        483  1DA 000A2020 NtQueryInformationTransactionManager
        484  1DB 000A2040 NtQueryInformationWorkerFactory
        485  1DC 000A2060 NtQueryInstallUILanguage
        486  1DD 000A2080 NtQueryIntervalProfile
        487  1DE 000A20A0 NtQueryIoCompletion
        488  1DF 0009FA10 NtQueryKey
        489  1E0 000A20C0 NtQueryLicenseValue
        490  1E1 000A20E0 NtQueryMultipleValueKey
        491  1E2 000A2100 NtQueryMutant
        492  1E3 0009F950 NtQueryObject
        493  1E4 000A2120 NtQueryOpenSubKeys
        494  1E5 000A2140 NtQueryOpenSubKeysEx
        495  1E6 0009FD70 NtQueryPerformanceCounter
        496  1E7 000A2160 NtQueryPortInformationProcess
        497  1E8 000A2180 NtQueryQuotaInformationFile
        498  1E9 000A0170 NtQuerySection
        499  1EA 000A21A0 NtQuerySecurityAttributesToken
        500  1EB 000A21C0 NtQuerySecurityObject
        501  1EC 000A21E0 NtQuerySecurityPolicy
        502  1ED 000A2200 NtQuerySemaphore
        503  1EE 000A2220 NtQuerySymbolicLinkObject
        504  1EF 000A2240 NtQuerySystemEnvironmentValue
        505  1F0 000A2260 NtQuerySystemEnvironmentValueEx
        506  1F1 0009FE10 NtQuerySystemInformation
        507  1F2 000A2280 NtQuerySystemInformationEx
        508  1F3 000A0290 NtQuerySystemTime
        509  1F4 0009FE50 NtQueryTimer
        510  1F5 000A22A0 NtQueryTimerResolution
        511  1F6 0009FA30 NtQueryValueKey
        512  1F7 0009FBB0 NtQueryVirtualMemory
        513  1F8 000A0070 NtQueryVolumeInformationFile
        514  1F9 000A22C0 NtQueryWnfStateData
        515  1FA 000A22E0 NtQueryWnfStateNameInformation
        516  1FB 0009FFF0 NtQueueApcThread
        517  1FC 000A2300 NtQueueApcThreadEx
